protein,degree,strength,clustering,ego_nodes,ego_edges,local_density,complex_membership_count,protein_in_any_complex
IL3RA,12,3.6563333333327,0.015018507026867878,13,15,0.19230769230769232,0,0
IL4,3,1.300666666666,0.0,4,3,0.5,2,1
IL4R,40,16.712999999998303,0.02655218038292316,41,82,0.1,2,1
IL5,1,0.807,0.0,2,1,1.0,0,0
IL5RA,7,4.159000000000001,0.1085295842928023,8,11,0.39285714285714285,0,0
IL6,4,1.949333333333,0.0,5,4,0.4,0,0
IL6R,16,6.372666666666,0.01971869615776906,17,25,0.18382352941176472,0,0
IL6ST,31,16.547666666666004,0.09573622565449241,32,111,0.22379032258064516,5,1
IL7,3,1.115333333334,0.0,4,3,0.5,0,0
IL7R,99,38.13399999999929,0.05991158760509606,100,747,0.1509090909090909,0,0
IL9,1,0.218,0.0,2,1,1.0,0,0
IL9R,22,4.0259999999996,0.0,23,22,0.08695652173913043,0,0
ILDR1,5,2.646666666666,0.17649061087906956,6,8,0.5333333333333333,0,0
ILF2,329,166.20433333334194,0.08145722677022504,330,8860,0.1632126738509717,4,1
ILF3,378,189.707000000005,0.07209652380447108,379,9648,0.13469028772458852,7,1
ILK,234,111.55333333333454,0.0343619540192484,235,2138,0.07775959265320967,5,1
ILKAP,60,29.130333333334995,0.03531307109369327,61,175,0.09562841530054644,0,0
ILVBL,63,28.005333333330693,0.03867200371088442,64,264,0.13095238095238096,0,0
IMMP1L,3,0.673333333333,0.0,4,3,0.5,0,0
IMMP2L,2,0.574,0.3920063065878204,3,3,1.0,0,0
IMMT,182,84.156,0.04066574345890161,183,1794,0.10772833723653395,3,1
IMP3,34,20.420666666667,0.09637076517821251,35,121,0.20336134453781513,1,1
IMP4,29,19.174999999999997,0.18172548503293756,30,149,0.3425287356321839,1,1
IMPA1,19,9.463666666666999,0.07658731392719442,20,45,0.23684210526315788,0,0
IMPA2,38,16.945333333331998,0.03842119023104798,39,102,0.13765182186234817,0,0
IMPACT,17,6.537666666666,0.006316798935080238,18,19,0.12418300653594772,0,0
IMPAD1,23,5.1483333333340005,0.00942419313392116,24,38,0.13768115942028986,0,0
IMPDH1,84,27.723333333335304,0.007600891929512928,85,151,0.042296918767507005,0,0
IMPDH2,121,53.603333333334994,0.046414302754246385,122,866,0.11732827530144967,0,0
IMPG1,1,0.235333333333,0.0,2,1,1.0,0,0
INA,42,11.9436666666673,0.025898998127846823,43,109,0.12070874861572536,0,0
INADL,36,0.0,0.0,37,115,0.17267267267267267,0,0
INCA1,40,17.627999999996998,0.007193607559034625,41,53,0.06463414634146342,0,0
INCENP,23,13.466666666668,0.10666130399343628,24,77,0.27898550724637683,5,1
INF2,42,11.701666666666997,0.09092510734323693,43,279,0.3089700996677741,0,0
ING1,53,31.924,0.14213893925576404,54,381,0.2662473794549266,7,1
ING2,43,22.958999999999,0.13844178703976823,44,291,0.30761099365750527,1,1
ING3,54,25.271999999999,0.10791767150217221,55,374,0.2518518518518518,5,1
ING4,47,28.121666666665003,0.05306444711212808,48,140,0.12411347517730496,3,1
ING5,57,32.848333333332,0.04586607233413565,58,181,0.10949788263762855,6,1
INHA,6,2.694333333333,0.060009310603499656,7,8,0.38095238095238093,0,0
INHBA,8,3.6883333333339996,0.1780306180604407,9,18,0.5,0,0
INHBB,8,3.744333333332,0.20087318210452063,9,19,0.5277777777777778,0,0
INHBE,15,0.0,0.0,16,25,0.20833333333333334,0,0
INIP,12,7.400333333332,0.07137783826672375,13,20,0.2564102564102564,0,0
INMT,2,0.952333333333,0.0,3,2,0.6666666666666666,0,0
INO80,39,22.316999999998995,0.13985071378055555,40,225,0.28846153846153844,1,1
INO80B,100,63.82933333332999,0.09801896048365252,101,833,0.16495049504950496,1,1
INO80C,26,13.322666666667,0.2280499485639706,27,152,0.43304843304843305,2,1
INO80D,18,10.419333333338,0.4455377398974032,19,126,0.7368421052631579,1,1
INO80E,37,26.134333333331995,0.13652231236952453,38,153,0.21763869132290184,1,1
